Label,Settled,Germinated,Ratio,Treatment
A1,14,10,0.714285714,A Treatment
A2,23,9,0.391304348,A Treatment
A3,9,2,0.222222222,A Treatment
A4,8,4,0.5,A Treatment
A5,19,8,0.421052632,A Treatment
B1,12,7,0.583333333,A Treatment
B2,15,8,0.533333333,A Treatment
B3,15,5,0.333333333,A Treatment
B4,19,3,0.157894737,A Treatment
B5,15,3,0.2,A Treatment
C1,14,4,0.285714286,A Treatment
C2,39,17,0.435897436,A Treatment
C3,8,4,0.5,A Treatment
C4,23,7,0.304347826,A Treatment
C5,16,9,0.5625,A Treatment
D1,18,3,0.166666667,A Treatment
D2,10,7,0.7,A Treatment
D3,12,7,0.583333333,A Treatment
D4,12,2,0.166666667,A Treatment
D5,10,2,0.2,A Treatment
E1,40,9,0.225,A Treatment
E2,37,8,0.216216216,A Treatment
E3,22,7,0.318181818,A Treatment
E4,22,11,0.5,A Treatment
E5,22,10,0.454545455,A Treatment
F1,24,11,0.458333333,A Treatment
F2,29,16,0.551724138,A Treatment
F3,18,6,0.333333333,A Treatment
F4,20,7,0.35,A Treatment
F5,17,5,0.294117647,A Treatment
G1,20,12,0.6,A Treatment
G2,11,1,0.090909091,A Treatment
G3,10,1,0.1,A Treatment
G4,18,10,0.555555556,A Treatment
G5,18,11,0.611111111,A Treatment
H1,29,10,0.344827586,A Treatment
H2,15,7,0.466666667,A Treatment
H3,19,11,0.578947368,A Treatment
H4,14,11,0.785714286,A Treatment
H5,19,9,0.473684211,A Treatment
A1,8,3,0.375,A Control
A2,6,2,0.333333333,A Control
A3,8,3,0.375,A Control
A4,7,3,0.428571429,A Control
A5,12,5,0.416666667,A Control
B1,18,6,0.333333333,A Control
B2,14,5,0.357142857,A Control
B3,19,8,0.421052632,A Control
B4,13,10,0.769230769,A Control
B5,18,12,0.666666667,A Control
C1,5,4,0.8,A Control
C2,18,5,0.277777778,A Control
C3,8,2,0.25,A Control
C4,11,6,0.545454545,A Control
C5,13,8,0.615384615,A Control
D1,18,8,0.444444444,A Control
D2,14,6,0.428571429,A Control
D3,12,5,0.416666667,A Control
D4,14,10,0.714285714,A Control
D5,7,2,0.285714286,A Control
E1,10,5,0.5,A Control
E2,16,9,0.5625,A Control
E3,14,8,0.571428571,A Control
E4,16,6,0.375,A Control
E5,10,5,0.5,A Control
F1,13,10,0.769230769,A Control
F2,17,8,0.470588235,A Control
F3,25,9,0.36,A Control
F4,18,10,0.555555556,A Control
F5,10,7,0.7,A Control
G1,20,12,0.6,A Control
G2,15,9,0.6,A Control
G3,18,10,0.555555556,A Control
G4,22,12,0.545454545,A Control
G5,40,10,0.25,A Control
H1,24,16,0.666666667,A Control
H2,10,5,0.5,A Control
H3,22,7,0.318181818,A Control
H4,20,8,0.4,A Control
H5,16,4,0.25,A Control
A1,29,13,0.448275862,A Treatment
A2,17,8,0.470588235,A Treatment
A3,17,10,0.588235294,A Treatment
A4,23,10,0.434782609,A Treatment
