Label,Germinated,Settled,Ratio,Treatment,Time
A1,45,107,0.420560748,A Treatment,794
A2,58,80,0.725,A Treatment,794
A3,58,80,0.725,A Treatment,794
A4,41,69,0.594202899,A Treatment,794
A5,32,71,0.450704225,A Treatment,794
B1,60,94,0.638297872,A Treatment,794
B2,44,128,0.34375,A Treatment,794
B3,44,59,0.745762712,A Treatment,794
B4,48,69,0.695652174,A Treatment,794
B5,33,49,0.673469388,A Treatment,794
C1,61,94,0.64893617,A Treatment,794
C2,47,92,0.510869565,A Treatment,794
C3,60,129,0.465116279,A Treatment,794
C4,60,99,0.606060606,A Treatment,794
C5,31,62,0.5,A Treatment,794
D1,39,60,0.65,A Treatment,794
D2,57,92,0.619565217,A Treatment,794
D3,26,73,0.356164384,A Treatment,794
D4,37,78,0.474358974,A Treatment,794
D5,27,105,0.257142857,A Treatment,794
E1,31,64,0.484375,A Treatment,794
E2,40,81,0.49382716,A Treatment,794
E3,22,47,0.468085106,A Treatment,794
E4,28,71,0.394366197,A Treatment,794
E5,46,70,0.657142857,A Treatment,794
F1,41,82,0.5,A Treatment,794
F2,42,74,0.567567568,A Treatment,794
F3,32,63,0.507936508,A Treatment,794
F4,40,82,0.487804878,A Treatment,794
F5,24,72,0.333333333,A Treatment,794
G1,34,86,0.395348837,A Treatment,794
G2,28,79,0.35443038,A Treatment,794
G3,21,58,0.362068966,A Treatment,794
G4,45,99,0.454545455,A Treatment,794
G5,41,65,0.630769231,A Treatment,794
H1,22,67,0.328358209,A Treatment,794
H2,25,66,0.378787879,A Treatment,794
H3,42,71,0.591549296,A Treatment,794
H4,33,66,0.5,A Treatment,794
H5,28,63,0.444444444,A Treatment,794
A1,33,15,0.454545455,A Control,1227
A2,45,25,0.555555556,A Control,1227
A3,91,32,0.351648352,A Control,1227
B1,29,11,0.379310345,A Control,1227
B2,29,15,0.517241379,A Control,1227
B3,18,10,0.555555556,A Control,1227
B4,21,15,0.714285714,A Control,1227
B5,34,20,0.588235294,A Control,1227
C1,37,18,0.486486486,A Control,1227
C2,44,20,0.454545455,A Control,1227
C3,48,29,0.604166667,A Control,1227
C4,42,16,0.380952381,A Control,1227
C5,43,24,0.558139535,A Control,1227
D1,20,12,0.6,A Control,1227
D2,30,16,0.533333333,A Control,1227
D3,26,21,0.807692308,A Control,1227
D4,21,7,0.333333333,A Control,1227
D5,29,15,0.517241379,A Control,1227
E1,40,20,0.5,A Control,1227
E2,47,16,0.340425532,A Control,1227
E3,38,13,0.342105263,A Control,1227
E4,23,13,0.565217391,A Control,1227
E5,26,15,0.576923077,A Control,1227
F1,28,19,0.678571429,A Control,1227
F2,20,15,0.75,A Control,1227
F3,31,17,0.548387097,A Control,1227
F4,43,29,0.674418605,A Control,1227
F5,33,12,0.363636364,A Control,1227
G1,23,18,0.782608696,A Control,1227
G2,40,25,0.625,A Control,1227
G3,34,19,0.558823529,A Control,1227
G4,38,24,0.631578947,A Control,1227
G5,34,14,0.411764706,A Control,1227
H1,31,20,0.64516129,A Control,1227
H2,26,14,0.538461538,A Control,1227
H3,26,16,0.615384615,A Control,1227
H4,16,6,0.375,A Control,1227
H5,24,15,0.625,A Control,1227
A1,60,10,0.166666667,B Control,1120
A2,44,13,0.295454545,B Control,1120
A3,57,18,0.315789474,B Control,1120
A4,54,26,0.481481481,B Control,1120
A5,37,11,0.297297297,B Control,1120
B1,38,15,0.394736842,B Control,1120
B2,51,17,0.333333333,B Control,1120
B3,38,15,0.394736842,B Control,1120
B4,37,19,0.513513514,B Control,1120
B5,20,9,0.45,B Control,1120
C1,41,15,0.365853659,B Control,1120
C2,39,10,0.256410256,B Control,1120
C3,37,14,0.378378378,B Control,1120
C4,38,17,0.447368421,B Control,1120
C5,58,23,0.396551724,B Control,1120
D1,35,15,0.428571429,B Control,1120
D2,42,19,0.452380952,B Control,1120
D3,36,14,0.388888889,B Control,1120
D4,30,11,0.366666667,B Control,1120
D5,52,27,0.519230769,B Control,1120
E1,49,13,0.265306122,B Control,1120
E2,50,26,0.52,B Control,1120
E3,39,17,0.435897436,B Control,1120
E4,21,7,0.333333333,B Control,1120
E5,22,5,0.227272727,B Control,1120
F1,14,4,0.285714286,B Control,1120
F2,42,13,0.30952381,B Control,1120
F3,51,19,0.37254902,B Control,1120
F4,47,16,0.340425532,B Control,1120
F5,33,14,0.424242424,B Control,1120
G1,42,11,0.261904762,B Control,1120
G2,38,11,0.289473684,B Control,1120
G3,24,12,0.5,B Control,1120
G4,45,27,0.6,B Control,1120
G5,87,26,0.298850575,B Control,1120
H1,61,17,0.278688525,B Control,1120
H2,54,23,0.425925926,B Control,1120
H3,48,22,0.458333333,B Control,1120
H4,26,9,0.346153846,B Control,1120
H5,49,18,0.367346939,B Control,1120
A1,81,22,0.271604938,B Treatment,1200
A2,77,20,0.25974026,B Treatment,1200
A3,55,19,0.345454545,B Treatment,1200
A4,42,16,0.380952381,B Treatment,1200
