Settlement,Treatment,Tank,Duration,Settlement.Rate
0.005252595,Control,A,1237,4.24624E-06
0.00716263,Control,A,1237,5.79032E-06
0.014484429,Control,A,1237,1.17093E-05
0.012415225,Control,A,1237,1.00366E-05
0.012256055,Control,A,1237,9.90789E-06
0.004615917,Control,A,1237,3.73154E-06
0.004615917,Control,A,1237,3.73154E-06
0.002865052,Control,A,1237,2.31613E-06
0.00334256,Control,A,1237,2.70215E-06
0.005411765,Control,A,1237,4.37491E-06
0.005889273,Control,A,1237,4.76093E-06
0.00700346,Control,A,1237,5.66165E-06
0.007640138,Control,A,1237,6.17634E-06
0.006685121,Control,A,1237,5.4043E-06
0.00684429,Control,A,1237,5.53297E-06
0.003183391,Control,A,1237,2.57348E-06
0.004775086,Control,A,1237,3.86022E-06
0.004138408,Control,A,1237,3.34552E-06
0.00334256,Control,A,1237,2.70215E-06
0.004615917,Control,A,1237,3.73154E-06
0.006366782,Control,B,1237,5.14695E-06
0.007480969,Control,B,1237,6.04767E-06
0.006048443,Control,B,1237,4.88961E-06
0.0036609,Control,B,1237,2.9595E-06
0.004138408,Control,B,1237,3.34552E-06
0.004456747,Control,B,1237,3.60287E-06
0.003183391,Control,B,1237,2.57348E-06
0.004934256,Control,B,1237,3.98889E-06
0.00684429,Control,B,1237,5.53297E-06
0.005252595,Control,B,1237,4.24624E-06
0.0036609,Control,B,1237,2.9595E-06
0.006366782,Control,B,1237,5.14695E-06
0.005411765,Control,B,1237,4.37491E-06
0.006048443,Control,B,1237,4.88961E-06
0.005411765,Control,B,1237,4.37491E-06
0.004934256,Control,B,1237,3.98889E-06
0.004138408,Control,B,1237,3.34552E-06
0.004138408,Control,B,1237,3.34552E-06
0.002546713,Control,B,1237,2.05878E-06
0.003820069,Control,B,1237,3.08817E-06
0.003126369,Sound,C,794,3.93749E-06
0.002337472,Sound,C,794,2.94392E-06
0.002337472,Sound,C,794,2.94392E-06
0.00201607,Sound,C,794,2.53913E-06
0.002074506,Sound,C,794,2.61273E-06
0.00274653,Sound,C,794,3.45911E-06
0.003739955,Sound,C,794,4.71027E-06
0.001723886,Sound,C,794,2.17114E-06
0.00201607,Sound,C,794,2.53913E-06
0.001431702,Sound,C,794,1.80315E-06
0.00274653,Sound,C,794,3.45911E-06
0.002688093,Sound,C,794,3.38551E-06
0.003769173,Sound,C,794,4.74707E-06
0.002892622,Sound,C,794,3.6431E-06
0.001811541,Sound,C,794,2.28154E-06
0.001753104,Sound,C,794,2.20794E-06
0.002688093,Sound,C,794,3.38551E-06
0.002132943,Sound,C,794,2.68633E-06
0.002279035,Sound,C,794,2.87032E-06
0.003067932,Sound,C,794,3.86389E-06
0.001869978,Sound,D,794,2.35514E-06
0.00236669,Sound,D,794,2.98072E-06
0.001373265,Sound,D,794,1.72955E-06
0.002074506,Sound,D,794,2.61273E-06
0.002045288,Sound,D,794,2.57593E-06
0.002395909,Sound,D,794,3.01752E-06
0.002162162,Sound,D,794,2.72313E-06
0.001840759,Sound,D,794,2.31834E-06
0.002395909,Sound,D,794,3.01752E-06
0.002103725,Sound,D,794,2.64953E-06
0.002512782,Sound,D,794,3.16471E-06
0.002308254,Sound,D,794,2.90712E-06
0.001694667,Sound,D,794,2.13434E-06
0.002892622,Sound,D,794,3.6431E-06
0.001899196,Sound,D,794,2.39193E-06
0.001957633,Sound,D,794,2.46553E-06
0.001928414,Sound,D,794,2.42873E-06
0.002074506,Sound,D,794,2.61273E-06
0.001928414,Sound,D,794,2.42873E-06
0.001840759,Sound,D,794,2.31834E-06
